Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
A P R I L,1,Crystar[d],NS,Action role-playing,Gemdrops,NIS America,[281]
A P R I L,5,Before We Leave,"PS4, PS5",City-building,Balancing Monkey Games,Team17,[296]
A P R I L,5,Lego Star Wars: The Skywalker Saga,"Win, NS, PS4, PS5, XBO, XSX",Action-adventure,Traveller's Tales,Warner Bros. Interactive Entertainment,[297]
A P R I L,5,MLB The Show 22,"NS, PS4, PS5, XBO, XSX",Sports,San Diego Studio,"Sony Interactive Entertainment, MLB Advanced Media",[298]
A P R I L,5,World War Z: Aftermath,Stadia,Third-person shooter,Saber Interactive,Saber Interactive,[299]
A P R I L,7,Chinatown Detective Agency,"Win, Mac, NS, XBO",Adventure,General Interactive Co.,Humble Games,[300]
A P R I L,7,Chrono Cross: The Radical Dreamers Edition,"Win, NS, PS4, XBO",Role-playing,Square Enix,Square Enix,[301]
A P R I L,7,Eschatos,PS4,Action,Qute Corporation,Qute Corporation,[302]
A P R I L,7,Godfall: Ultimate Edition,"Win, PS4, PS5, XBO, XSX",Action role-playing,Counterplay Games,Gearbox Publishing,[303]
A P R I L,7,The House of the Dead: Remake,NS,Action,MegaPixel Studio,Forever Entertainment,[304]
A P R I L,7,Knights in the Nightmare Remaster[c],NS,Role-playing,Sting Entertainment,Sting Entertainment,[305]
A P R I L,7,Sherlock Holmes: The Devil's Daughter,NS,Adventure,Frogwares,Frogwares,[306]
A P R I L,7,Total War: Medieval II,"iOS, Droid",Role-playing,Feral Interactive,Feral Interactive,[307]
A P R I L,8,Lake,"PS4, PS5",Adventure,Gamious,Whitethorn Games,[308]
A P R I L,8,Metal Dogs[c],"NS, PS4",Roguelike,24Frame,Kadokawa Games,[309]
A P R I L,8,Serious Sam: Tormental,Win,Top-down shooter,Gungrounds,Devolver Digital,[310]
A P R I L,11,Danganronpa V3: Killing Harmony Anniversary Edition,"iOS, Droid",Adventure,Spike Chunsoft,Spike Chunsoft,[311]
A P R I L,11,Ib,Win,Adventure,kouri,Playism,[312]
A P R I L,12,13 Sentinels: Aegis Rim,NS,Adventure,Vanillaware,Atlus,[313]
A P R I L,12,Don't Starve Together,NS,Survival,Klei Entertainment,Klei Entertainment,[314]
A P R I L,14,Battle Spirits: Connected Battlers[c],"NS, PS4",Card Game,FuRyu,FuRyu,[315]
A P R I L,14,Demon Turf: Neon Splash,"Win, NS",Platform,Fabraz,Playtonic Friends,[316]
A P R I L,14,Golf with Your Friends,Stadia,Sport,Team17,Team17,[317]
A P R I L,14,Gotta Protectors: Cart of Darkness[a],NS,Tower Defense,Ancient,8-4,[318]
A P R I L,14,Nobody Saves the World,"NS, PS4, PS5",Action role-playing,Drinkbox Studios,Drinkbox Studios,[319]
A P R I L,14,Road 96,"PS4, PS5, XBO, XSX",Adventure,DigixArt,DigixArt,[320]
A P R I L,14,Winning Post 9 2022[c],"Win, NS, PS4",Simulation,Koei Tecmo,Koei Tecmo,[321]
A P R I L,18,Turnip Boy Commits Tax Evasion,XBO,Action-adventure,Snoozy Kazoo,Graffiti Games,[322]
A P R I L,19,Lego Builder's Journey,"PS4, PS5",Puzzle,Light Brick Studio,The Lego Group,[323]
A P R I L,19,Neptuna x Senran Kagura: Ninja Wars[a],NS,Role-playing,"Idea Factory, Compile Heart, Tamsoft",Idea Factory,[324]
A P R I L,20,Liberated: Enhanced Edition,"PS4, XBO, XSX",Action-adventure,"Atomic Wolf, L.INC",Walkabout,[325]
A P R I L,20,Postal 4: No Regerts,Win,First-person shooter,Running with Scissors,Running With Scissors,[326]
A P R I L,20,Star Wars: The Force Unleashed,NS,Action-adventure,Krome Studios,Aspyr,[200]
A P R I L,21,Chernobylite,"PS5, XSX",Survival,The Farm 51,All in! Games,[327]
A P R I L,21,eBASEBALL Powerful Pro Baseball 2022[c],"NS, PS4",Sports,Konami,Konami,[328]
A P R I L,21,Hyperdimension Neptunia: Sisters vs. Sisters[c],"PS4, PS5",Role-playing,Compile Heart,Compile Heart,[329]
A P R I L,21,Lumote: The Mastermote Chronicles,"Win, NS, PS4, XBO",Puzzle,Luminawesome Games,Wired Productions,[330]
A P R I L,21,MotoGP 22,"Win, NS, PS4, PS5, XBO, XSX",Racing,Milestone srl,Milestone srl,[331]
A P R I L,21,Pocky & Rocky Reshrined[c],"NS, PS4",Action,Natsume-Atari,Natsume,[332]
A P R I L,21,Roguebook,NS,Strategy,Abrakam Entertainment,Nacon,[333]
A P R I L,21,Teardown,Win,Puzzle,Tuxedo Labs,Tuxedo Labs,[334]
A P R I L,21,Yomawari 3[c],"NS, PS4",Survival,Nippon Ichi Software,Nippon Ichi Software,[335]
A P R I L,22,Ganryu 2: Hakuma Kojiro,"Win, NS, PS4, XBO",Action,Storybird Studio,"Just For Games, PixelHeart",[336]
A P R I L,25,Ragnorium,Win,Simulation,Vitali Kirpu,Devolver Digital,[337]
A P R I L,26,Demon Gaze Extra,Win,Role-playing,Kadokawa Games,Clouded Leopard Entertainment,[338]
A P R I L,26,King Arthur: Knight's Tale,Win,Role-playing,NeocoreGames,NeocoreGames,[339]
A P R I L,26,Galactic Civilizations IV,Win,4X,Stardock,Stardock,[340]
A P R I L,26,Zombie Army 4: Dead War,NS,Third-person shooter,Rebellion Developments,Rebellion Developments,[200]
