Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J A N U A R Y,3,Freddi Fish 3: The Case of the Stolen Conch Shell,NS,Adventure,Humongous Entertainment,UFO Interactive Games,[110]
J A N U A R Y,3,Putt-Putt Travels Through Time,NS,Adventure,Humongous Entertainment,UFO Interactive Games,[110]
J A N U A R Y,4,Deep Rock Galactic,"PS4, PS5",First-person shooter,Ghost Ship Games,Coffee Stain Publishing,[111]
J A N U A R Y,4,The Pedestrian,"XBO, XSX","Puzzle, platform",Skookum Arts LLC,Skookum Arts LLC,[112]
J A N U A R Y,6,Demon Gaze Extra[a],"NS, PS4",Role-playing,Cattle Call,Clouded Leopard Entertainment,[113]
J A N U A R Y,6,QuickSpot[a],NS,Puzzle,Bandai Namco Online,Bandai Namco Entertainment,[114]
J A N U A R Y,10,Japanese Rail Sim: Journey to Kyoto,NS,Train simulator,Sonic Powered,Sonic Powered,[115]
J A N U A R Y,10,Picross S7[b],NS,Puzzle,Jupiter,Jupiter,[116]
J A N U A R Y,12,Monster Hunter Rise,Win,Action role-playing,Capcom,Capcom,[117]
J A N U A R Y,12,SNK vs. Capcom: Card Fighters Clash,NS,Digital collectible card game,SNK,SNK,[118]
J A N U A R Y,13,Astroneer,NS,"Sandbox, adventure",System Era Softworks,System Era Softworks,[119]
J A N U A R Y,13,Boomerang Fu,"PS4, PS5","Fighting, party",Cranky Watermelon,Cranky Watermelon,[120]
J A N U A R Y,13,Deemo II,"iOS, Droid",Rhythm,Rayark,Rayark,[121]
J A N U A R Y,13,Eschatos[a],NS,Scrolling shooter,Qute Corporation,Qute Corporation,[122]
J A N U A R Y,13,Mary Skelter 2,Win,"Role-playing, dungeon crawler",Compile Heart,Ghostlight,[123]
J A N U A R Y,13,Nova-111,NS,Adventure,Funktronic Labs,No Gravity Games,[124]
J A N U A R Y,13,Shadow Man Remastered,"PS4, XBO",Action-adventure,"Nightdive Studios, Acclaim Entertainment",Nightdive Studios,[125]
J A N U A R Y,13,Spelunky 2,"XBO, XSX","Platform, roguelike","Mossmouth, BlitWorks",Mossmouth,[126]
J A N U A R Y,14,God of War,Win,Action-adventure,"Jetpack Interactive, Santa Monica Studio",PlayStation PC,[127]
J A N U A R Y,17,Shadow Man Remastered,NS,Action-adventure,"Nightdive Studios, Acclaim Entertainment",Nightdive Studios,[125]
J A N U A R Y,18,Nobody Saves the World,"Win, XBO, XSX",Action role-playing,Drinkbox Studios,Drinkbox Studios,[128]
J A N U A R Y,18,River City Girls,PS5,Beat 'em up,WayForward,Arc System Works,[129]
J A N U A R Y,19,Hatsune Miku Logic Paint S,"Win, XBO, XSX",Puzzle,Crypton Future Media,Crypton Future Media,[130]
J A N U A R Y,19,Yu-Gi-Oh! Master Duel,"Win, NS, PS4, PS5, XBO, XSX","Digital collectible card game, strategy",Konami,Konami,[131]
J A N U A R Y,20,Aquamarine,"Win, Mac, Lin",Adventure,Moebial Studios,Hitcents,[132]
J A N U A R Y,20,Dimension Tripper Neptune: TOP NEP,Win,"Action, roguelite, platform",Frontier Works,Idea Factory,[133]
J A N U A R Y,20,Disney Twisted-Wonderland[a][b],"iOS, Droid","Adventure, rhythm",f4samurai,Aniplex,[134]
J A N U A R Y,20,Expeditions: Rome,Win,Tactical role-playing,Logic Artists,THQ Nordic,[135]
J A N U A R Y,20,Hitman Trilogy,"Win, PS4, PS5, XBO, XSX",Stealth,IO Interactive,IO Interactive,[136]
J A N U A R Y,20,Pupperazzi,"Win, Mac, XBO, XSX",Photography,Sundae Mouth,Kitfox Games,[137]
J A N U A R Y,20,RPGolf Legends,"Win, NS, PS4, PS5, XBO","Action role-playing, sports",ArticNet,Kemco,[138]
J A N U A R Y,20,Tom Clancy's Rainbow Six Extraction,"Win, PS4, PS5, XBO, XSX, Stadia",Tactical shooter,Ubisoft Montreal,Ubisoft,[139]
J A N U A R Y,20,Windjammers 2,"Win, NS, PS4, XBO, Stadia",Sports,Dotemu,Dotemu,[140]
J A N U A R Y,21,MouseCraft,XBO,Puzzle,Crunching Koalas,Crunching Koalas,[141]
J A N U A R Y,21,Needy Streamer Overload,"Win, Mac","Adventure, visual novel","Xemono, WSS Playground",WSS Playground,[142]
J A N U A R Y,21,Strange Horticulture,Win,Puzzle,Bad Viking,Iceberg Interactive,[143]
J A N U A R Y,21,Technoroid Unison Heart[c],"iOS, Droid","Puzzle, adventure",WonderPlanet,CyberAgent,[144]
J A N U A R Y,23,Gnosia,Win,"Visual novel, role-playing, social deduction",Petit Depotto,Playism,[145]
J A N U A R Y,24,Archetype Arcadia[c],Win,Visual novel,Water Phoenix,Kemco,[146]
J A N U A R Y,25,The Artful Escape,"NS, PS4, PS5",Platform,Beethoven & Dinosaur,Annapurna Interactive,[147]
J A N U A R Y,25,Cannibal Cuisine,"PS4, PS5, XBO, XSX",Simulation,Rocket Vulture,Rocket Vulture,[148]
J A N U A R Y,25,Fast & Furious: Spy Racers Rise of SH1FT3R,Stadia,Racing,3DClouds,Outright Games,[149]
J A N U A R Y,25,Not For Broadcast,Win,Government simulation,NotGames,tinyBuild,[150]
J A N U A R Y,25,Serious Sam: Siberian Mayhem,Win,First-person shooter,"Croteam, Timelock Studio",Devolver Digital,[151]
J A N U A R Y,25,Trollhunters: Defenders of Arcadia,Stadia,Action,Casual Brothers,Outright Games,[152]
J A N U A R Y,26,Elasto Mania Remastered,"Win, NS, PS4, PS5, XBO, XSX",Simulation,Elasto Mania Team,Elasto Mania Team,[153]
J A N U A R Y,27,Bravely Default: Brilliant Lights[c],"iOS, Droid",Role-playing,Square Enix,Square Enix,[154]
J A N U A R Y,27,Cadavers for Dinner[c],"NS, PS4","Survival, tactical role-playing",Nippon Ichi Software,Nippon Ichi Software,[155]
J A N U A R Y,27,Circuit Superstars,PS4,Racing,Original Fire Games,Square Enix Collective,[156]
J A N U A R Y,27,Gunvolt Chronicles: Luminous Avenger iX 2,"Win, NS, PS4, PS5, XBO, XSX","Action, platform",Inti Creates,Inti Creates,[157]
J A N U A R Y,27,Hatsune Miku Connecting Puzzle Tamagotori[c],NS,Puzzle,Crypton Future Media,Crypton Future Media,[158]
J A N U A R Y,27,The Longest Road on Earth,"NS, PS4, PS5, XBO, XSX","Adventure, casual","Brainwash Gang, TLR Games",Raw Fury,[159]
J A N U A R Y,27,Rugby 22,"Win, NS, PS4, PS5, XBO, XSX",Sports,Eko Software,Nacon,[160]
J A N U A R Y,27,Taiko no Tatsujin: The Drum Master!,"Win, XBO, XSX",Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,[161]
J A N U A R Y,27,Yu-Gi-Oh! Master Duel,"iOS, Droid","Digital collectible card game, strategy",Konami,Konami,[162]
J A N U A R Y,28,Pokémon Legends: Arceus,NS,Action role-playing,Game Freak,"The Pokémon Company, Nintendo",[163]
J A N U A R Y,28,Record of Lodoss War: Deedlit in Wonder Labyrinth[a],NS,"Action role-playing, metroidvania","Team Ladybug, WSS Playground","Playism, WSS Playground",[164]
J A N U A R Y,28,Uncharted: Legacy of Thieves Collection,PS5,Action-adventure,Naughty Dog,PlayStation PC,[165]
F E B R U A R Y,1,Life Is Strange Remastered Collection,"Win, PS4, XBO, Stadia",Adventure,"Dontnod Entertainment, Deck Nine",Square Enix,[166]
F E B R U A R Y,1,MotoGP 21,Stadia,Racing,Milestone srl,Milestone srl,[167]
F E B R U A R Y,2,The Waylanders,Win,Role-playing,Gato Studio,Gato Studio,[168]
F E B R U A R Y,2,Webbed,"NS, PS4, XBO",Puzzle-platform,Sbug Games,Sbug Games,[169]
F E B R U A R Y,3,Genkai Tokki: Seven Pirates H[c],NS,Role-playing,Felistella,Compile Heart,[170]
F E B R U A R Y,3,Sherlock Holmes: Crimes & Punishments,NS,Adventure,Frogwares,Frogwares,[171]
F E B R U A R Y,3,Yu-Gi-Oh! Master Duel[a],"iOS, Droid","Digital collectible card game, strategy",Konami,Konami,[172]
F E B R U A R Y,3,Ziggurat 2,"PS4, PS5","Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios,[173]
F E B R U A R Y,4,Dying Light 2 Stay Human,"Win, NS, PS4, PS5, XBO, XSX","Action role-playing, survival horror",Techland,Techland,[174]
F E B R U A R Y,4,Maglam Lord[a],"NS, PS4",Action role-playing,Felistella,PQube,[175]
F E B R U A R Y,7,Ziggurat 2,NS,"Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios,[173]
F E B R U A R Y,8,Death End Request 2[a][b],NS,"Role-playing, visual novel",Compile Heart,Idea Factory,[176]
F E B R U A R Y,8,OlliOlli World,"Win, NS, PS4, PS5, XBO, XSX",Sports,Roll7,Private Division,[177]
F E B R U A R Y,8,Sifu,"Win, PS4, PS5",Beat 'em up,Sloclap,Sloclap,[178]
F E B R U A R Y,9,Backbone,NS,Noir adventure,EggNut,Raw Fury,[179]
F E B R U A R Y,9,Cotton Guardian Force Saturn Tribute,Win,Shoot 'em up,City Connection,City Connection,[180]
F E B R U A R Y,9,Getsu Fūma Den: Undying Moon,NS,"Hack and slash, roguelite","GuruGuru, Konami",Konami,[181]
F E B R U A R Y,9,Unbound: Worlds Apart,"PS4, PS5",Puzzle platformer,Alien Pixel Studios,Alien Pixel Studios,[182]
F E B R U A R Y,10,Breakout: Recharged,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX, Atari VCS","Action, arcade","Adamvision Studios, SneakyBox",Atari,[183]
F E B R U A R Y,10,CrossfireX,"XBO, XSX",First-person shooter,"Remedy Entertainment, Smilegate",Smilegate,[184]
F E B R U A R Y,10,Edge of Eternity,"PS4, PS5, XBO, XSX",Role-playing,Midgar Studio,Dear Villagers,[185]
