Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J U L Y,1,Archetype Arcadia[c],"iOS, Droid",Visual novel,Water Phoenix,Kemco,[547]
J U L Y,1,Birushana: Rising Flower of Genpei[d],NS,Visual novel,Idea Factory,Idea Factory,[528]
J U L Y,1,Centipede: Recharged,Stadia,"Arcade, shoot 'em up",Sneakybox Studios,Atari,[548]
J U L Y,1,F1 22,"Win, PS4, PS5, XBO, XSX",Racing,Codemasters,Electronic Arts,[549]
J U L Y,1,Five Nights at Freddy's: Security Breach,Stadia,Survival horror,Steel Wool Games,Steel Wool Games,[548]
J U L Y,1,Gamedec,NS,"Adventure, role-playing",Anshar Studios,Untold Tales,[550]
J U L Y,1,Roguebook,Stadia,"Roguelike, deck-building",Abrakam Entertainment,Nacon,[548]
J U L Y,1,Those Who Remain,Stadia,Horror,Warp Digital,Wired Productions,[548]
J U L Y,1,Worms W.M.D,Stadia,"Artillery, strategy",Team17,Team17,[548]
J U L Y,5,Arcadegeddon,"Win, PS4, PS5, XBO, XSX",Third-person shooter,IllFonic,IllFonic,[551]
J U L Y,5,Yurukill: The Calumniation Games[a][b],"NS, PS4, PS5",Shoot 'em up,G.rev,NIS America,[419]
J U L Y,6,Let's Play! Oink Games,Win,Party,Oink Games,Oink Games,[552]
J U L Y,7,Dicey Dungeons,"iOS, Droid",Roguelike deck-building,Terry Cavanagh,Terry Cavanagh,[553]
J U L Y,7,DJMax Respect V,"XBO, XSX",Rhythm,Neowiz,Neowiz,[554]
J U L Y,7,Far Cry 3: Blood Dragon Classic Edition,Stadia,First-person shooter,Ubisoft,Ubisoft,[555]
J U L Y,7,Gwent: Rogue Mage,"Win, iOS, Droid",Roguelike deck-building,CD Projekt Red,CD Projekt Red,[556]
J U L Y,7,Klonoa Phantasy Reverie Series[c],"Win, NS, PS4, PS5, XBO, XSX",Platform,Monkey Craft,Bandai Namco Entertainment,[557]
J U L Y,7,Matchpoint - Tennis Championships,"Win, NS, PS4, PS5, XBO, XSX",Sports,Torus Games,Kalypso Media,[558]
J U L Y,7,My Girlfriend is a Mermaid!? Refine,PS4,Visual novel,"Cosen, TALESshop",Cosen,[559]
J U L Y,7,Oita Beppu Mystery Guide: The Warped Bamboo Lantern[c],NS,Adventure,Happymeal,Flyhigh Works,[560]
J U L Y,7,Ruinsmagus,Win,"Action, role-playing",CharacterBank,"CharacterBank, Mastiff",[561]
J U L Y,8,AI: The Somnium Files – Nirvana Initiative[e],"Win, NS, PS4, XBO",Adventure,Spike Chunsoft,Spike Chunsoft,[562]
J U L Y,8,Klonoa Phantasy Reverie Series[a],"Win, NS, PS4, PS5, XBO, XSX",Platform,Monkey Craft,Bandai Namco Entertainment,[557]
J U L Y,8,Madison,"Win, PS4, PS5, XBO, XSX",Horror,Bloodious Games,"Bloodious Games, Perp Games",[563]
J U L Y,8,Yurukill: The Calumniation Games,"EU: NS, PS4, PS5WW: Win",Shoot 'em up,"G.rev, Esquadra, IzanagiGames",IzanagiGames,[419]
J U L Y,12,Century: Age of Ashes,XBO,"Aerial combat, third-person shooter",Playwing,Playwing,[564]
J U L Y,12,F.I.S.T.: Forged In Shadow Torch,NS,Metroidvania,TiGames,Bilibili,[565]
J U L Y,12,Garden Story,XBO,Action role-playing,Picogram,"Kowloon Nights, Rose City Games",[566]
J U L Y,12,Hellpoint,PS5,Action role-playing,Cradle Games,tinyBuild,[567]
J U L Y,12,Krut: The Mythic Wings,"Win, Mac, NS, PS4, PS5, XBO, XSX","Platform, hack and slash","Good Job Multimedia, Pixel Perfex, RSU Horizon",Blowfish Studios,[568]
J U L Y,12,Monument Valley: Panoramic Edition,Win,Puzzle,Ustwo Games,Ustwo Games,[569]
J U L Y,12,Monument Valley 2: Panoramic Edition,Win,Puzzle,Ustwo Games,Ustwo Games,[569]
J U L Y,12,Time on Frog Island,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Adventure,Half Past Yellow,Merge Games,[570]
J U L Y,12,XEL,Win,Action-adventure,Tiny Roar,Assemble Entertainment,[571]
J U L Y,13,Loopmancer,Win,Roguelike,eBrain Studio,eBrain Studio,[572]
J U L Y,13,Rune Factory 5,Win,"Role-playing, simulation",Hakama,"Xseed Games, Marvelous",[573]
J U L Y,13,The Tale of Bistun,"Win, XBO",Action-adventure,Black Cube Games,IMGN.PRO,[574]
J U L Y,14,Azure Striker Gunvolt 2,"XBO, XSX","Action, platform",Inti Creates,Inti Creates,[534]
J U L Y,14,Chickip Dancers: Norinori Dance de Kokoro mo Odoru[c],NS,Party,Nippon Columbia,Nippon Columbia,[575]
J U L Y,14,Escape Academy,"Win, PS4, PS5, XBO, XSX",Puzzle,Coin Crew Games,"Iam8bit, Skybound Games",[576]
J U L Y,14,Eyes in the Dark: The Curious Case of One Victoria Bloom,Win,"Roguelite, platform",Under the Stars,Gearbox Publishing,[577]
J U L Y,14,G-Mode Archives+: Megami Tensei Gaiden: Shinyaku Last Bible,NS,Role-playing,G-Mode,G-Mode,[578]
J U L Y,14,Mothmen 1966,"Win, Mac, NS, PS4, XBO",Visual novel,LCB Game Studio,Chorus Worldwide,[579]
J U L Y,14,Pascal's Wager: Definitive Edition,NS,Action role-playing,TipsWorks,Yooreka Studio,[580]
J U L Y,14,PowerWash Simulator,"Win, XBO, XSX",Simulation,FuturLab,Square Enix Collective,[581]
J U L Y,14,Running on Magic,NS,Platform,Gusarapo Games,Meteorbyte Publishing,[582]
J U L Y,14,Spidersaurs,Win,Rhythm,WayForward,WayForward,[583]
J U L Y,14,Valiant Hearts: The Great War,Stadia,"Puzzle, adventure",Ubisoft,Ubisoft,[584]
