Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
O C T O B E R,4.0,Alfred Hitchcock – Vertigo[a][b],"NS, PS4, PS5, XBO, XSX",Adventure,Pendulo Studios,Microids,[786]
O C T O B E R,4.0,Dakar Desert Rally,"Win, PS4, PS5, XBO, XSX",Racing,Saber Interactive,Saber Interactive,[822]
O C T O B E R,5.0,Deathverse: Let It Die,Win,Action,Supertrick Games,GungHo Online Entertainment,[796]
O C T O B E R,6.0,Nier: Automata The End of Yorha Edition,NS,Action role-playing,Virtuos,Square Enix,[531]
O C T O B E R,6.0,No More Heroes III[c],"PS4, PS5, XBO, XSX",Action-adventure,Grasshopper Manufacture,Xseed Games,[823]
O C T O B E R,6.0,Touch Detective: Rina and the Funghi Case Files[c],NS,Adventure,BeeWorks,Success Corporation,[824]
O C T O B E R,7.0,Chaos;Head Noah / Chaos;Child Double Pack[a],NS,Visual novel,Mages,Spike Chunsoft,[825]
O C T O B E R,7.0,Chaos;Head Noah,Win,Visual novel,Mages,Spike Chunsoft,[826]
O C T O B E R,7.0,L.O.L. Surprise! B.B’s Born,"Win, NS, PS4, PS5, XBO, XSX, Stadia",Action,Xaloc Studios,Outright Games,[827]
O C T O B E R,7.0,No Man's Sky,NS,Action-adventure,Hello Games,Hello Games,[828]
O C T O B E R,7.0,Nickelodeon Kart Racers 3: Slime Speedway,"Win, NS, PS4, PS5, XBO, XSX",Racing,Bamtang Games,Gamemill Entertainment,[829]
O C T O B E R,11.0,Asterigos: Curse of the Stars,"Win, PS4, PS5, XBO, XSX",Action-adventure,Acme Game Studio,tinyBuild,[830]
O C T O B E R,11.0,Kamiwaza: Way of the Thief[a][b],"Win, NS, PS4",Action,Acquire,NIS America,[831]
O C T O B E R,11.0,No More Heroes III[a][b],"Win, PS4, PS5, XBO, XSX",Action-adventure,Grasshopper Manufacture,Xseed Games,[832]
O C T O B E R,12.0,Lego Bricktales,"Win, NS, PS4, PS5, XBO, XSX",Puzzle,ClockStone Studio,Thunderful,[833]
O C T O B E R,12.0,PC Building Simulator 2,Win,Simulation,Spiral House,Epic Games Publishing,[834]
O C T O B E R,12.0,Undecember[a],"Win, iOS, Droid",Action role-playing,Needs Games,Line Games Corporation,[835]
O C T O B E R,13.0,Asterix & Obelix XXXL: The Ram From Hibernia,"Win, NS, PS4, PS5, XSX",Action-adventure,OSome Studio,Microids,[836]
O C T O B E R,13.0,Azure Striker Gunvolt 3,Win,Action,Inti Creates,Inti Creates,[837]
O C T O B E R,13.0,Bus Simulator City Ride,"NS, iOS, Droid",Simulation,Still Alive Studios,astragon,[838]
O C T O B E R,13.0,The Case of the Golden Idol,"Win, Mac, Lin",Puzzle,Color Gray Games,Playstack,[839]
O C T O B E R,13.0,Cultic,Win,Horror,Jasozz Games,3D Realms,[840]
O C T O B E R,13.0,The Darkest Tales,"Win, NS, XBO",Platform,Trinity Team,101XP,[841]
O C T O B E R,13.0,Dragon Ball: The Breakers[c],"Win, NS, PS4, XBO",Action,Dimps,Bandai Namco Entertainment,[842]
O C T O B E R,13.0,The Eternal Cylinder,"PS5, XSX",Adventure,ACE Team,Good Shepherd Entertainment,[843]
O C T O B E R,13.0,The Last Oricru,"Win, PS5, XSX",Action role-playing,GoldKnights,Prime Matter,[844]
O C T O B E R,13.0,Lost Eidolons,Win,Tactical role-playing,Ocean Drive Studio,Ocean Drive Studio,[845]
O C T O B E R,13.0,Triangle Strategy,Win,Tactical role-playing,Artdink,Square Enix,[846]
O C T O B E R,13.0,Trifox,NS,Action-adventure,Glowfish Interactive,Big Sugar,[847]
O C T O B E R,13.0,The Witch's House MV,"NS, PS4, XBO",Horror,Fummy,Dangen Entertainment,[848]
O C T O B E R,14.0,Dragon Ball: The Breakers[a],"Win, NS, PS4, XBO",Action,Dimps,Bandai Namco Entertainment,[842]
O C T O B E R,14.0,Kamiwaza: Way of the Thief[d],"Win, NS, PS4",Action,Acquire,NIS America,[831]
O C T O B E R,14.0,McPixel 3,"Win, Mac, Lin, NS, XSX",Adventure,Sos Sosowski,Devolver Digital,[849]
O C T O B E R,14.0,NHL 23,"PS4, PS5, XBO, XSX",Sports,EA Vancouver,Electronic Arts,[850]
O C T O B E R,14.0,No More Heroes III[d],"PS4, PS5, XBO, XSX",Action-adventure,Grasshopper Manufacture,Marvelous Europe,[832]
O C T O B E R,14.0,PGA Tour 2K23,"Win, PS4, PS5, XBO, XSX",Sports,HB Studios,2K,[851]
O C T O B E R,14.0,Saint Kotar,"NS, PS4, PS5, XBO, XSX",Horror,Red Martyr Studio,Soedesco,[852]
O C T O B E R,14.0,Scorn,"Win, XSX",Survival,Ebb Software,Ebb Software,[521]
O C T O B E R,14.0,Star Trek Prodigy: Supernova,"Win, PS4, PS5, XBO, XSX, NS",Action-adventure,Tessera Studios,Outright Games,[853]
O C T O B E R,14.0,Trifox,"Win, XBO, XSX",Action-adventure,Glowfish Interactive,Big Sugar,[847]
O C T O B E R,15.0,Figment 2: Creed Valley,"Win, NS",Action-adventure,Bedtime Digital Games,Bedtime Digital Games,[854]
O C T O B E R,18.0,A Plague Tale: Requiem,"Win, NS, PS5, XSX",Action-adventure,Asobo Studio,Focus Entertainment,[855]
O C T O B E R,18.0,Ghostbusters: Spirits Unleashed,"Win, PS4, PS5, XBO, XSX",Action,IllFonic,IllFonic,[856]
O C T O B E R,18.0,Marvel Snap,"Win, iOS, Droid",Card Game,Second Dinner,Nuverse,[857]
O C T O B E R,18.0,Them's Fightin' Herds,"NS, PS4, PS5, XBO, XSX",Fighting,Mane6,Modus Games,[858]
O C T O B E R,19.0,The Last Hero of Nostalgaia,"Win, XBO, XSX",Action-adventure,Over the Moon,PQube,[859]
O C T O B E R,19.0,The Last Worker,Win,Adventure,"Wolf & Wood, Oiffy",Wired Productions,[749]
O C T O B E R,19.0,Uncharted: Legacy of Thieves Collection,Win,Action-adventure,Naughty Dog,PlayStation PC,[165]
O C T O B E R,20.0,Alan Wake Remastered,NS,Action-adventure,Remedy Entertainment,Epic Games Publishing,[860]
O C T O B E R,20.0,Batora: Lost Haven,"Win, PS4, PS5, XBO, XSX",Action-adventure,Stormind Games,Team17,[861]
O C T O B E R,20.0,Dragon Quest X Online All In One Package version 1-6[c],"Win, NS, PS4",MMO,Square Enix,Square Enix,[862]
O C T O B E R,20.0,The Jackbox Party Pack 9,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX, Stadia",Party,Jackbox Games,Jackbox Games,[863]
O C T O B E R,20.0,Mario + Rabbids Sparks of Hope,NS,Turn-based strategy,"Ubisoft Milan, Ubisoft Paris",Ubisoft,[531]
O C T O B E R,20.0,Ultra Kaiju Monster Rancher,NS,Role-playing,Koei Tecmo,Bandai Namco Entertainment,[864]
O C T O B E R,20.0,Vampire Survivors,"Win, Mac",Roguelike,Luca Galante,Luca Galante,[865]
O C T O B E R,20.0,"Warhammer 40,000: Shootas, Blood & Teef","Win, NS, PS4, PS5, XBO, XSX",Action,Rogueside,Rogueside,[866]
O C T O B E R,21.0,Faith: The Unholy Trinity - Chapter III,Win,Survival,Airdorf Games,New Blood Interactive,[867]
O C T O B E R,21.0,Gotham Knights,"Win, PS5, XSX",Action role-playing,WB Games Montréal,Warner Bros. Interactive Entertainment,[762]
O C T O B E R,21.0,New Tales from the Borderlands,"Win, NS, PS4, PS5, XBO, XSX",Adventure,Gearbox Software,2K Games,[762]
O C T O B E R,21.0,Persona 5 Royal,"Win, NS, PS5, XBO, XSX",Role-playing,Atlus,Atlus USA,[868]
O C T O B E R,25.0,Mount & Blade II: Bannerlord,"Win, PS4, PS5, XBO, XSX",Strategy,TaleWorlds Entertainment,Prime Matter,[869]
O C T O B E R,25.0,Victoria 3,"Win, Mac, Lin",Grand strategy,Paradox Development Studio,Paradox Interactive,[870]
O C T O B E R,25.0,Yomawari: Lost in the Dark[a][b],"Win, NS, PS4",Survival,Nippon Ichi Software,NIS America,[871]
O C T O B E R,26.0,Return to Monkey Island,Lin,Adventure,Terrible Toybox,Devolver Digital,[872]
O C T O B E R,27.0,Ace Angler: Fishing Spirits[c],NS,Sports,Racjin,Bandai Namco Entertainment,[873]
O C T O B E R,27.0,Aquarium.[c],"NS, PS4",Visual novel,Entergram,Entergram,[874]
O C T O B E R,27.0,Da Capo 4 Fortunate Departures[c],"NS, PS4",Visual novel,Circus,Circus,[875]
O C T O B E R,27.0,Gunfire Reborn,"XBO, XSX",Strategy,Duoyi Games,505 Games,[876]
O C T O B E R,27.0,Needy Streamer Overload,NS,Adventure,"Xemono, WSS Playground",WSS Playground,[877]
O C T O B E R,27.0,Paradigm Paradox[a],NS,Visual novel,Idea Factory,Aksys Games,[878]
O C T O B E R,27.0,Relayer Advanced,Win,Tactical role-playing,Kadokawa Games,Dragami Games,[879]
O C T O B E R,27.0,Sackboy: A Big Adventure,Win,Platform,Sumo Digital,Sony Interactive Entertainment,[880]
O C T O B E R,27.0,Signalis,"Win, NS, PS4, XBO",Survival,rose-engine,"Humble Games, Playism",[881]
O C T O B E R,27.0,Spiritfarer,"iOS, Droid",Simulation,Thunder Lotus Games,Thunder Lotus Games,[882]
O C T O B E R,27.0,Star Ocean: The Divine Force,"Win, PS4, PS5, XBO, XSX",Action role-playing,Tri-Ace,Square Enix,[883]
O C T O B E R,28.0,Ace Angler: Fishing Spirits[a],NS,Sports,Racjin,Bandai Namco Entertainment,[873]
O C T O B E R,28.0,Bayonetta 3,NS,Hack and slash,PlatinumGames,Nintendo,[884]
O C T O B E R,28.0,Call of Duty: Modern Warfare II,"Win, PS4, PS5, XBO, XSX",First-person shooter,Infinity Ward,Activision,[494]
O C T O B E R,28.0,Crystarise,Win,Action role-playing,Yukiusagi Games,Yukiusagi Games,[885]
O C T O B E R,28.0,Dungeon Munchies,"PS4, PS5",Action role-playing,Majaja,Chorus Worldwide,[619]
O C T O B E R,28.0,Resident Evil RE:Verse,"Win, PS4, XBO",Survival,Capcom,Capcom,[886]
O C T O B E R,28.0,Yomawari: Lost in the Dark[d],"Win, NS, PS4",Survival,Nippon Ichi Software,NIS America,[871]
N O V E M B E R,1.0,The Darkest Tales,PS4,Platform,Trinity Team,101XP,[887]
N O V E M B E R,1.0,Lonesome Village,"Win, NS, PS5, XSX",Puzzle,Ogre Pixel,Ogre Pixel,[888]
N O V E M B E R,2.0,Doraemon Story of Seasons: Friends of the Great Kingdom,"Win, NS, PS5",Simulation,Marvelous,Bandai Namco Entertainment,[889]
N O V E M B E R,2.0,Sumikko Gurashi: Minna de Rhythm Party[c],NS,Role-playing,Nippon Columbia,Nippon Columbia,[890]
N O V E M B E R,2.0,Tanuki Sunset,"PS4, PS5",Racing,Rewind Games,Digerati Distribution,[891]
N O V E M B E R,3.0,A Memoir Blue,iOS,Role-playing,Cloisters Interactive,Annapurna Interactive,[892]
N O V E M B E R,3.0,The Chant,"Win, PS5, XSX",Horror,Brass Token,Prime Matter,[749]
N O V E M B E R,3.0,Endling: Extinction is Forever,"PS5, XSX",Adventure,Herobeat Studios,HandyGames,[893]
N O V E M B E R,3.0,Ghost Song,"Win, PS4, XBO, PS5, XSX, NS",Metroidvania,Old Moon,Humble Games,[894]
N O V E M B E R,3.0,Iron Man VR,Win,Shooter,Camouflaj,Oculus Studios,[895]
N O V E M B E R,3.0,Space Tail: Every Journey Leads Home,"Win, NS",Adventure,"Enjoy Studio, Longterm Games",Longterm Games,[896][897]
N O V E M B E R,3.0,Totally Accurate Battle Simulator,NS,Strategy,Landfall Games,Landfall Games,[898]
N O V E M B E R,3.0,WRC Generations,"Win, PS4, PS5, XBO, XSX",Racing,Kylotonn,Nacon,[899]
N O V E M B E R,4.0,Harvestella,"Win, NS",Simulation,Square Enix,Square Enix,[531]
N O V E M B E R,4.0,Goddess of Victory: Nikke,"iOS, Droid",Third-person shooter,Shift Up,Level Infinite,[900]
N O V E M B E R,4.0,It Takes Two,NS,Action-adventure,Hazelight Studios,Electronic Arts,[901]
N O V E M B E R,4.0,Tanuki Sunset,"XBO, XSX",Racing,Rewind Games,Digerati Distribution,[891]
N O V E M B E R,8.0,A Little to the Left,"Win, Mac",Puzzle,Max Inferno,Secret Mode,[749]
